FEMA Code,Year,State,Official FEMA Name,Declaration URL,Term 1,Term 2,Term 3,Term 4,Term 5,Term 6,Term 7,Term 8,Term 9,Term 10,Term 11,Term 12,Term 13,Term 14,Term 15,Term 16,Term 17,Term 18,Term 19,Term 20
1763,2008,Iowa,"Iowa Severe Storms, Tornadoes, and Flooding",https://www.fema.gov/disaster/1763,Cedar Rapids flood 2008,Cedar River flood 2008,Iowa City flood 2008,Coralville flood 2008,Palo Iowa flood,Parkersburg tornado 2008,New Hartford Iowa flood,Eastern Iowa flood 2008,Cedar Rapids downtown flood,Iowa floods June 2008,,,,,,,,,,
1780,2008,Texas,Texas Hurricane Dolly,https://www.fema.gov/disaster/1780,Hurricane Dolly Texas,Hurricane Dolly South Padre Island,Hurricane Dolly Brownsville,Hurricane Dolly Port Isabel,Hurricane Dolly Cameron County,Hurricane Dolly Rio Grande Valley,Hurricane Dolly Harlingen,Hurricane Dolly 2008,Hurricane Dolly Willacy County,Hurricane Dolly Laguna Vista,,,,,,,,,,
4393,2018,North Carolina,North Carolina Hurricane Florence,https://www.fema.gov/disaster/4393,Wilmington Florence flood,New Bern Florence flood,Lumberton Florence,Fayetteville Florence flood,Rocky Mount NC Florence,Jacksonville NC Florence,Brunswick County Florence,,,,,,,,,,,,,
4798,2024,Texas,Texas Hurricane Beryl,https://www.fema.gov/disaster/4798,Hurricane Beryl Texas,Hurricane Beryl Matagorda,Hurricane Beryl Houston,Hurricane Beryl Galveston,Hurricane Beryl Freeport,Hurricane Beryl Sargent,Hurricane Beryl Brazoria County,Hurricane Beryl 2024,Houston power outage Beryl,Hurricane Beryl Harris County,,,,,,,,,,
1786,2008,Louisiana,Louisiana Hurricane Gustav,https://www.fema.gov/disaster/1786,Hurricane Gustav Louisiana,Hurricane Gustav Cocodrie,Hurricane Gustav Houma,Hurricane Gustav Terrebonne Parish,Hurricane Gustav Baton Rouge,Hurricane Gustav Lafourche,Hurricane Gustav Grand Isle,Hurricane Gustav 2008,Hurricane Gustav Montegut,Baton Rouge wind damage Gustav,New Orleans Hurricane Gustav,,,,,,,,,
1606,2005,Texas,Texas Hurricane Rita,https://www.fema.gov/disaster/1606,Hurricane Rita Texas,Hurricane Rita Sabine Pass,Hurricane Rita Port Arthur,Hurricane Rita Beaumont,Hurricane Rita Orange Texas,Hurricane Rita Bridge City,Hurricane Rita Jefferson County,Hurricane Rita 2005 Texas,Hurricane Rita southeast Texas,Hurricane Rita Sabine Lake,,,,,,,,,,
4830,2024,Georgia,Georgia Hurricane Helene,https://www.fema.gov/disaster/4830,Hurricane Helene Georgia,Hurricane Helene Valdosta,Hurricane Helene Augusta,Hurricane Helene Lowndes County,Hurricane Helene Georgia 2024,Hurricane Helene south Georgia,Hurricane Helene Alma Georgia,Hurricane Helene Douglas Georgia,Hurricane Helene I-75 corridor,Hurricane Helene Valdosta damage,,,,,,,,,,
4473,2019,PR,Puerto Rico Earthquakes,https://www.fema.gov/disaster/4473,Guanica earthquake 2020,Ponce earthquake Puerto Rico,Yauco earthquake,Indios Puerto Rico earthquake,Peñuelas earthquake,Southwest Puerto Rico earthquake 2020,Guanica earthquake 2019,Puerto Rico earthquake December 2019,Puerto Rico earthquake swarm 2020,Guayanilla earthquake,Costa Sur power plant earthquake,,,,,,,,,
4734,2023,Florida,Florida Hurricane Idalia,https://www.fema.gov/disaster/4734,Hurricane Idalia Florida,Hurricane Idalia Keaton Beach,Hurricane Idalia Perry Florida,Hurricane Idalia Steinhatchee,Hurricane Idalia Cedar Key,Hurricane Idalia Horseshoe Beach,Hurricane Idalia Taylor County,Hurricane Idalia Big Bend,Hurricane Idalia 2023,Hurricane Idalia Suwannee,,,,,,,,,,
4020,2011,New York,New York Hurricane Irene,https://www.fema.gov/disaster/4020,Hurricane Irene New York,Hurricane Irene Prattsville,Hurricane Irene Margaretville,Hurricane Irene Schoharie Creek,Hurricane Irene Windham,Hurricane Irene Catskills,Hurricane Irene Greene County,Hurricane Irene 2011,Hurricane Irene Schoharie County,Hurricane Irene Phoenicia,,,,,,,,,,
4335,2017,U.S. Virgin Islands,U.S. Virgin Islands Hurricane Irma,https://www.fema.gov/disaster/4335,Hurricane Irma U.S. Virgin Islands,Hurricane Irma St. Thomas,Hurricane Irma St. John,Hurricane Irma USVI 2017,Hurricane Irma Charlotte Amalie,Hurricane Irma Cruz Bay,St. Thomas hurricane September 2017,Hurricane Irma Virgin Islands National Park,,,,,,,,,,,,
4606,2021,Louisiana,"Louisiana Severe Storms, Tornadoes, and Flooding",https://www.fema.gov/disaster/4606,Lake Charles flood May 2021,Calcasieu Parish flood 2021,Lake Charles flooding 2021,Baton Rouge flood May 2021,Lafayette Louisiana flood 2021,Southwest Louisiana flood 2021,Louisiana flood May 2021,Lake Charles rain May 2021,,,,,,,,,,,,
1545,2004,Florida,Florida Hurricane Frances,https://www.fema.gov/disaster/1545,Hurricane Frances Florida,Hurricane Frances Stuart,Hurricane Frances Hutchinson Island,Hurricane Frances Port St. Lucie,Hurricane Frances Fort Pierce,Hurricane Frances Vero Beach,Hurricane Frances Treasure Coast,Hurricane Frances Sewall's Point,Hurricane Frances 2004,Hurricane Frances Martin County,,,,,,,,,,
4562,2020,Oregon,Oregon Wildfires and Straight-Line Winds,https://www.fema.gov/disaster/4562,Talent fire Oregon,Phoenix Oregon fire,Medford area fire 2020,Almeda fire,Beachie Creek fire,Detroit Oregon fire,Blue River fire Oregon,Holiday Farm fire McKenzie,Gates Oregon fire,Mill City fire Oregon,Santiam Canyon fire,Labor Day fires Oregon,Archie Creek fire Oregon,Riverside fire Clackamas,Echo Mountain fire Lincoln City,Lionshead fire Oregon,,,,
4615,2021,New York,New York Remnants of Hurricane Ida,https://www.fema.gov/disaster/4615,Queens basement flooding Ida,Flushing flood Ida,Brooklyn flood Ida 2021,NYC subway flood Ida,Long Island flood Ida,Staten Island flood Ida,New York City Ida flooding,,,,,,,,,,,,,
4263,2016,Louisiana,Louisiana Severe Storms and Flooding,https://www.fema.gov/disaster/4263,Shreveport flood March 2016,Bossier City flood 2016,North Louisiana flood 2016,Monroe Louisiana flood March 2016,Red River flood Louisiana 2016,Caddo Parish flood 2016,Bossier Parish flood March 2016,Cross Lake flood Shreveport 2016,Bayou Pierre flood 2016,,,,,,,,,,,
4614,2021,New Jersey,New Jersey Remnants of Hurricane Ida,https://www.fema.gov/disaster/4614,Bound Brook NJ Ida flood,Somerville NJ Ida,Elizabeth NJ flood Ida,Newark NJ Ida flood,New Jersey Ida flooding September 2021,Manville NJ Ida flood,,,,,,,,,,,,,,
1561,2004,Florida,Florida Hurricane Jeanne,https://www.fema.gov/disaster/1561,Hurricane Jeanne Florida,Hurricane Jeanne Stuart,Hurricane Jeanne Hutchinson Island landfall,Hurricane Jeanne Fort Pierce,Hurricane Jeanne Vero Beach,Hurricane Jeanne Port St. Lucie,Hurricane Jeanne Martin County,Hurricane Jeanne 2004,Hurricane Jeanne Treasure Coast,Hurricane Jeanne Indian River County,,,,,,,,,,
4781,2024,Texas,"Texas Severe Storms, Straight-Line Winds, Tornadoes, and Flooding",https://www.fema.gov/disaster/4781,Houston derecho May 2024,Houston power outage storm 2024,Cypress Texas storm May 2024,Katy Texas derecho,Pearland storm May 2024,Conroe Texas storm 2024,Houston straight-line winds May 2024,May 16 derecho Houston,Harris County derecho 2024,Spring Texas derecho May 2024,CenterPoint Energy outage 2024,,,,,,,,,
4757,2023,Michigan,"Michigan Severe Storms, Tornadoes, and Flooding",https://www.fema.gov/disaster/4757,Metro Detroit flood August 2023,Oakland County flood 2023,Macomb County flood 2023,Sterling Heights flood 2023,Dearborn flood 2023,Detroit flood August 2023,Westland Michigan flood 2023,,,,,,,,,,,,,
4285,2016,North Carolina,North Carolina Hurricane Matthew,https://www.fema.gov/disaster/4285,Hurricane Matthew North Carolina,Hurricane Matthew Lumberton,Hurricane Matthew Princeville,Hurricane Matthew Fayetteville,Hurricane Matthew Goldsboro,Hurricane Matthew Kinston,Hurricane Matthew Lumber River,Hurricane Matthew 2016 North Carolina,Hurricane Matthew Robeson County,Hurricane Matthew Neuse River,,,,,,,,,,
4031,2011,New York,New York Remnants of Tropical Storm Lee,https://www.fema.gov/disaster/4031,Binghamton flood 2011,Owego New York flood,Elmira flood 2011,Broome County flood 2011,Tioga County flood September 2011,,,,,,,,,,,,,,,
4382,2018,California,California Wildfires and High Winds,https://www.fema.gov/disaster/4382,Woolsey Fire,Malibu fire November 2018,Calabasas fire 2018,Thousand Oaks fire 2018,Agoura Hills fire,Hill Fire Ventura,Moorpark fire 2018,Camarillo fire 2018,Simi Valley fire November 2018,Hill Fire Camarillo,Woolsey Fire 2018,Woolsey Fire Malibu,Point Dume fire Woolsey,Cornell fire Woolsey,Paramount Ranch fire 2018,,,,,
1551,2004,Florida,Florida Hurricane Ivan,https://www.fema.gov/disaster/1551,Hurricane Ivan Florida,Hurricane Ivan Pensacola,Hurricane Ivan Perdido Key,Hurricane Ivan Pensacola Beach,Hurricane Ivan Escambia County,Hurricane Ivan Santa Rosa County,Hurricane Ivan Gulf Breeze,Hurricane Ivan Navarre,Hurricane Ivan 2004,Hurricane Ivan I-10 bridge,,,,,,,,,,
1539,2004,Florida,Florida Tropical Storm Bonnie and Hurricane Charley,https://www.fema.gov/disaster/1539,Hurricane Charley Florida,Hurricane Charley Punta Gorda,Hurricane Charley Port Charlotte,Hurricane Charley Charlotte Harbor,Hurricane Charley Cayo Costa,Hurricane Charley Captiva,Hurricane Charley Sanibel,Hurricane Charley Fort Myers,Hurricane Charley 2004,Hurricane Charley Charlotte County,,,,,,,,,,
4663,2022,Kentucky,"Kentucky Severe Storms, Flooding, Landslides, and Mudslides",https://www.fema.gov/disaster/4663,Whitesburg flood 2022,Hazard Kentucky flood 2022,Letcher County flood,Knott County flood July 2022,Perry County flooding,Breathitt County flood,Eastern Kentucky flood July 28 2022,Appalachian flood 2022,Hindman Kentucky flood,North Fork Kentucky River Flood,Rockhouse Creek Flood,Troublesome Creek Flood,Eastern Kentucky flood 2022,Troublesome Creek flood July 2022,Carr Creek flood 2022,Lost Creek flood 2022,,,,
4308,2017,California,"California Severe Winter Storms, Flooding, and Mudslides",https://www.fema.gov/disaster/4308,Oroville Dam spillway 2017,Oroville Dam evacuation,Lake Oroville spillway crisis,Feather River flood 2017,Marysville evacuation 2017,San Jose Coyote Creek flood 2017,Santa Clara County flood 2017,California February 2017 storms,Yuba City evacuation 2017,Oroville Dam crisis,Oroville Dam crisis 2017,Oroville Dam spillway failure,Butte County evacuation 2017,Anderson Springs Coyote Creek flood,,,,,,
1792,2008,Louisiana,Louisiana Hurricane Ike,https://www.fema.gov/disaster/1792,Hurricane Ike Louisiana,Hurricane Ike Cameron Parish,Hurricane Ike Vermilion Parish,Hurricane Ike Grand Chenier,Hurricane Ike Pecan Island,Hurricane Ike southwest Louisiana,Hurricane Ike Louisiana 2008,Hurricane Ike Holly Beach,Hurricane Ike Calcasieu,Hurricane Ike coastal flooding Louisiana,,,,,,,,,,
4563,2020,Alabama,Alabama Hurricane Sally,https://www.fema.gov/disaster/4563,Hurricane Sally Alabama,Hurricane Sally Gulf Shores,Hurricane Sally Orange Beach,Hurricane Sally Baldwin County,Hurricane Sally Foley,Hurricane Sally Fort Morgan,Hurricane Sally Mobile,Hurricane Sally 2020 Alabama,Hurricane Sally Gulf State Park,Hurricane Sally Alabama coast,,,,,,,,,,
4567,2020,New York,New York Tropical Storm Isaias,https://www.fema.gov/disaster/4567,Tropical Storm Isaias New York,Isaias New York 2020,Isaias Long Island,Isaias Glen Cove,Isaias Hudson Valley,Isaias Westchester,Isaias Putnam County,Isaias Dutchess County,Isaias New York power outage,Isaias New York City,,,,,,,,,,
4570,2020,Louisiana,Louisiana Hurricane Delta,https://www.fema.gov/disaster/4570,Hurricane Delta Louisiana,Hurricane Delta Creole,Hurricane Delta Cameron Parish,Hurricane Delta Lake Charles,Hurricane Delta Calcasieu,Hurricane Delta Jennings,Hurricane Delta Lake Arthur,Hurricane Delta 2020,Hurricane Delta Jeff Davis Parish,Hurricane Delta southwest Louisiana,,,,,,,,,,
4558,2020,California,California Wildfires,https://www.fema.gov/disaster/4558,Creek Fire Shaver Lake,Fresno area fire 2020,Clovis evacuation fire,LNU Lightning Complex Vacaville,Hennessey Fire Napa,SCU Lightning Complex Livermore,San Jose hills fire 2020,Vacaville fire August 2020,Winters California fire,August Complex Fire,LNU Lightning Complex,SCU Lightning Complex,August Complex Fire Mendocino,Walbridge Fire Sonoma,,,,,,
4420,2019,Nebraska,"Nebraska Severe Winter Storm, Straight-Line Winds, and Flooding",https://www.fema.gov/disaster/4420,Nebraska bomb cyclone 2019,Spencer Dam failure Nebraska,Fremont Nebraska flood 2019,Elkhorn River flood 2019,Columbus Nebraska flood,Norfolk Nebraska flood 2019,Niobrara Nebraska flood,Plattsmouth flood 2019,Nebraska flood March 2019,Niobrara River Flood,Platte River Nebraska,March 2019 bomb cyclone Nebraska,Spencer Dam breach 2019,Niobrara Nebraska dam failure 2019,Missouri River flood Nebraska 2019,,,,,
4283,2016,Florida,Florida Hurricane Matthew,https://www.fema.gov/disaster/4283,Hurricane Matthew Florida,Hurricane Matthew St. Augustine,Hurricane Matthew Flagler Beach,Hurricane Matthew Palm Coast,Hurricane Matthew Jacksonville,Hurricane Matthew Anastasia Island,Hurricane Matthew 2016 Florida,Hurricane Matthew Daytona Beach,Hurricane Matthew northeast Florida,Hurricane Matthew St. Johns River,,,,,,,,,,
4344,2017,California,California Wildfires,https://www.fema.gov/disaster/4344,Tubbs Fire,Santa Rosa fire 2017,Coffey Park fire,Fountaingrove fire Santa Rosa,Nuns Fire Sonoma,Atlas Fire Napa,Kenwood fire 2017,Calistoga fire 2017,Wine Country fire October 2017,Sonoma Valley fire 2017,Wine Country fires 2017,Mark West Springs fire,Larkfield-Wikiup fire,Glen Ellen fire 2017,,,,,,
4586,2021,Texas,Texas Severe Winter Storms,https://www.fema.gov/disaster/4586,Houston freeze 2021,Dallas power outage Uri,San Antonio freeze February 2021,Austin pipes burst 2021,Texas blackout February 2021,Winter Storm Uri Houston,Fort Worth freeze 2021,Abilene Texas freeze,Corpus Christi freeze 2021,Winter Storm Uri,Winter Storm Uri Texas 2021,Texas freeze February 2021,Uri Texas blackout,ERCOT grid failure 2021,Winter Storm Uri water crisis,,,,,
4273,2016,West Virginia,"West Virginia Severe Storms, Flooding, Landslides, and Mudslides",https://www.fema.gov/disaster/4273,White Sulphur Springs flood 2016,Rainelle WV flood,Greenbrier County flood 2016,Clendenin WV flood,Elkview West Virginia flood,Clay County WV flood,Nicholas County WV flood 2016,West Virginia flood June 2016,Greenbrier River Flood,Elk River Flood,White Sulphur Springs flood June 2016,Greenbrier Classic flood 2016,Howard Creek flood 2016,,,,,,,
4286,2016,South Carolina,South Carolina Hurricane Matthew,https://www.fema.gov/disaster/4286,Hurricane Matthew South Carolina,Matthew South Carolina 2016,South Carolina storms October 2016,,,,,,,,,,,,,,,,,
4715,2023,Guam,Guam Typhoon Mawar,https://www.fema.gov/disaster/4715,Typhoon Mawar Guam,Typhoon Mawar 2023,Mawar Guam 2023,Guam storms May 2023,,,,,,,,,,,,,,,,
4728,2023,Illinois,Illinois Severe Storms and Flooding,https://www.fema.gov/disaster/4728,Chicago West Side flood 2023,Chicago basement flooding July 2023,Cook County flood June 2023,Berwyn flood 2023,Cicero flood 2023,Austin Chicago flood 2023,Garfield Park flood 2023,Chicago flood June 29 2023,,,,,,,,,,,,
4683,2022,California,"California Severe Winter Storms, Flooding, Landslides, and Mudslides",https://www.fema.gov/disaster/4683,Capitola Wharf Flood,Santa Cruz flood 2023,Capitola flood January 2023,Monterey Flood,San Luis Obispo Flood,San Benito County flood,,,,,,,,,,,,,,
4021,2011,New Jersey,New Jersey Hurricane Irene,https://www.fema.gov/disaster/4021,Hurricane Irene New Jersey,Irene New Jersey 2011,"New Jersey storms August 27, 2011",,,,,,,,,,,,,,,,,
1909,2010,Tennessee,"Tennessee Severe Storms, Flooding, Straight-Line Winds, and Tornadoes",https://www.fema.gov/disaster/1909,Nashville flood 2010,Opryland Hotel flood,Bellevue Nashville flood,Cumberland River Nashville,Dickson Tennessee flood May 2010,Clarksville Tennessee flood 2010,Nashville 1000 year flood,Williamson County flood 2010,Grand Ole Opry flood 2010,Antioch Nashville flood 2010,Harpeth River Nashville flood,Richland Creek Nashville flood,Metro Center Nashville flood,,,,,,,
4829,2024,South Carolina,South Carolina Hurricane Helene,https://www.fema.gov/disaster/4829,Hurricane Helene South Carolina,Helene South Carolina 2024,South Carolina storms September 2024,,,,,,,,,,,,,,,,,
4806,2024,Florida,Florida Hurricane Debby,https://www.fema.gov/disaster/4806,Hurricane Debby Florida,Hurricane Debby 2024,Debby Florida 2024,Hurricane Debby Florida 2024,Florida storms August 2024,,,,,,,,,,,,,,,
4145,2013,Colorado,"Colorado Severe Storms, Flooding, Landslides, and Mudslides",https://www.fema.gov/disaster/4145,Boulder flood 2013,Lyons Colorado flood,Longmont flood 2013,Fort Collins flood September 2013,Estes Park flood 2013,Big Thompson River flood 2013,Larimer County flood 2013,Jamestown Colorado flood,Boulder Creek flood 2013,Front Range flood 2013,1000 year flood Colorado 2013,Big Elk Meadows flood 2013,Left Hand Canyon flood,Fourmile Canyon flood 2013,,,,,,
4080,2012,Louisiana,Louisiana Hurricane Isaac,https://www.fema.gov/disaster/4080,Hurricane Isaac Louisiana,Hurricane Isaac 2012,Isaac Louisiana 2012,Hurricane Isaac Louisiana 2012,Louisiana storms August 2012,,,,,,,,,,,,,,,
4819,2024,Illinois,"Illinois Severe Storms, Tornadoes, Straight-Line Winds, and Floodng",https://www.fema.gov/disaster/4819,Tinley Park tornado 2024,Naperville tornado June 2024,Cook County tornado 2024,Illinois tornado June 2024,Chicago suburbs tornado 2024,Mokena tornado,,,,,,,,,,,,,,
4129,2013,New York,New York Severe Storms and Flooding,https://www.fema.gov/disaster/4129,Mohawk Valley flood 2013,Fort Plain flood 2013,Herkimer flood 2013,Ilion flood 2013,Little Falls NY flood 2013,Mohawk NY flood 2013,St. Johnsville flood 2013,Canajoharie flood 2013,Herkimer County flood June 2013,Montgomery County NY flood 2013,,,,,,,,,,
4607,2021,Michigan,"Michigan Severe Storms, Flooding, and Tornadoes",https://www.fema.gov/disaster/4607,Detroit flood June 2021,I-94 flooding Detroit 2021,Metro Detroit flood 2021,Dearborn flood 2021,Wayne County flood June 2021,Detroit freeway flooding 2021,Macomb County flood 2021,Oakland County flood 2021,Washtenaw County flood 2021,Detroit basement flooding 2021,,,,,,,,,,
4564,2020,Florida,Florida Hurricane Sally,https://www.fema.gov/disaster/4564,Hurricane Sally Florida,Sally Florida 2020,Hurricane Sally Florida 2020,Florida storms September 2020,,,,,,,,,,,,,,,,
4404,2018,Northern Mariana Islands,Northern Mariana Islands Super Typhoon Yutu,https://www.fema.gov/disaster/4404,Super Typhoon Yutu,Yutu Saipan,Yutu Tinian,Saipan typhoon 2018,Tinian typhoon 2018,Northern Mariana Islands Yutu,Tinian destroyed Yutu 2018,Yutu CNMI October 2018,,,,,,,,,,,,
