incident_number,year,incident_type,state,Common Name 1,Common Name 2,Common Name 3,source,confidence,candidate_frequency,sample_url
1786,2008,Hurricane,LA,Hurricane Gustav,,,fema_title,med,,
1789,2008,Hurricane,AL,Hurricane Gustav,,,fema_title,med,,
1791,2008,Hurricane,TX,Hurricane Ike,,,fema_title,med,,
1792,2008,Hurricane,LA,Hurricane Ike,,,fema_title,med,,
1793,2008,Hurricane,AR,Hurricane Gustav,,,fema_title,med,,
1794,2008,Hurricane,MS,Hurricane Gustav,,,fema_title,med,,
1797,2008,Severe Storm,AL,Hurricane Ike,,,fema_title,med,,
1801,2008,Severe Storm,NC,Tropical Storm Hanna,,,fema_title,med,,
1804,2008,Severe Storm,AR,Tropical Storm Ike,,,fema_title,med,,
1806,2008,Hurricane,FL,Hurricane Gustav,,,fema_title,med,,
1807,2008,Hurricane,VI,Hurricane Omar,,,fema_title,med,,
1931,2010,Hurricane,TX,Hurricane Alex,,,fema_title,med,,
1939,2010,Hurricane,VI,Hurricane Earl,,,fema_title,med,,
4017,2011,Hurricane,PR,Hurricane Irene,,,fema_title,med,,
4019,2011,Hurricane,NC,Hurricane Irene,,,fema_title,med,,
4020,2011,Hurricane,NY,Hurricane Irene,,,fema_title,med,,
4021,2011,Hurricane,NJ,Hurricane Irene,,,fema_title,med,,
4024,2011,Hurricane,VA,Hurricane Irene,,,fema_title,med,,
4025,2011,Hurricane,PA,Hurricane Irene,,,fema_title,med,,
4031,2011,Severe Storm,NY,Tropical Storm Lee,,,fema_title,med,,
4034,2011,Hurricane,MD,Hurricane Irene,,,fema_title,med,,
4036,2011,Hurricane,DC,Hurricane Irene,,,fema_title,med,,
4037,2011,Hurricane,DE,Hurricane Irene,,,fema_title,med,,
4039,2011,Severe Storm,NJ,Tropical Storm Lee,,,fema_title,med,,
4045,2011,Severe Storm,VA,Tropical Storm Lee,,,fema_title,med,,
4068,2012,Severe Storm,FL,Tropical Storm Debby,,,fema_title,med,,
4080,2012,Hurricane,LA,Hurricane Isaac,,,fema_title,med,,
4081,2012,Hurricane,MS,Hurricane Isaac,,,fema_title,med,,
4082,2012,Hurricane,AL,Hurricane Isaac,,,fema_title,med,,
4084,2012,Hurricane,FL,Hurricane Isaac,,,fema_title,med,,
4087,2012,Hurricane,CT,Hurricane Sandy,,,fema_title,med,,
4089,2012,Hurricane,RI,Hurricane Sandy,,,fema_title,med,,
4090,2012,Hurricane,DE,Hurricane Sandy,,,fema_title,med,,
4091,2012,Hurricane,MD,Hurricane Sandy,,,fema_title,med,,
4092,2012,Hurricane,VA,Hurricane Sandy,,,fema_title,med,,
4093,2012,Hurricane,WV,Hurricane Sandy,,,fema_title,med,,
4095,2012,Hurricane,NH,Hurricane Sandy,,,fema_title,med,,
4096,2012,Hurricane,DC,Hurricane Sandy,,,fema_title,med,,
4097,2012,Hurricane,MA,Hurricane Sandy,,,fema_title,med,,
4098,2012,Hurricane,OH,Hurricane Sandy,,,fema_title,med,,
4099,2012,Hurricane,PA,Hurricane Sandy,,,fema_title,med,,
4133,2013,Fire,CO,Gorge Fire,,,fema_title,med,,
4158,2013,Fire,CA,Rim Fire,,,fema_title,med,,
4191,2014,Severe Storm,GU,Tropical Storm Halong,,,fema_title,med,,
4194,2014,Severe Storm,HI,Tropical Storm Iselle,,,fema_title,med,,
